,term_id
0,10200004
1,103579009
2,104133003
3,104142005
4,104589004
5,104847001
6,104866001
7,104976002
8,105011006
9,108252007
10,108480007
11,109071007
12,11455007
13,1153637007
14,116566001
15,118600007
16,121868005
17,1240581000000104
18,128272009
19,128462008
20,12856003
21,14089001
22,14304000
23,160592001
24,161712005
25,165581004
26,167305006
27,16983000
28,174255007
29,182838006
30,184107009
31,185952002
32,19943007
33,224168007
34,224209007
35,224362002
36,22569008
37,226448008
38,226452008
39,228698009
40,230690007
41,23573002
42,238131007
43,246211005
44,249572006
45,250546000
46,250564007
47,250637003
48,250668004
49,251070002
50,251071003
51,251073000
52,251075007
53,25173007
54,25469001
55,263495000
56,263605001
57,26523005
58,266918002
59,26758005
60,27051004
61,271062006
62,27113001
63,271226002
64,271285000
65,271649006
66,271650006
67,271737000
68,271921002
69,272670002
70,274075007
71,27913002
72,281395000
73,281396004
74,281397008
75,282195009
76,28317006
77,289908002
78,29857009
79,300328001
80,300995000
81,301851003
82,302019003
83,304383000
84,305342007
85,309632008
86,309904001
87,312468003
88,312469006
89,312471006
90,312472004
91,313408009
92,31542002
93,33747003
94,34486009
95,34608000
96,359846004
97,359986008
98,36048009
99,363478007
100,363800008
101,363803005
102,364075005
103,365581002
104,367391008
105,370992007
106,3716002
107,37254006
108,372567009
109,372701006
110,373216001
111,373481003
112,373713005
113,373864002
114,38082009
115,38341003
116,384759009
117,384978002
118,386725007
119,386964000
120,386965004
121,386966003
122,386967007
123,386991003
124,387070004
125,387143009
126,387186009
127,387210001
128,387713003
129,389026000
130,38929004
131,39104002
132,394733009
133,394960005
134,395828009
135,395869000
136,396451008
137,39748002
138,397669002
139,405161002
140,409073007
141,409120009
142,40930008
143,413307004
144,413320001
145,414545008
146,416800000
147,417005
148,418416001
149,418835009
150,419620001
151,42351005
152,423902002
153,42525009
154,427081008
155,428630002
156,429622005
157,431314004
158,43396009
159,438173002
160,442790008
161,443527007
162,446325007
163,45007003
164,457441000124102
165,45896001
166,461541000124102
167,49436004
168,50711007
169,5113004
170,53741008
171,54706004
172,55235003
173,56265001
174,56882008
175,60153001
176,60170009
177,60621009
178,61167004
179,61928009
180,62479008
181,66493003
182,66590003
183,66842004
184,67487000
185,67776007
186,67866001
187,6797001
188,68130003
189,68615006
190,68677007
191,687005
192,690051000119100
193,70901006
194,71388002
195,714797009
196,71960002
197,73211009
198,735146006
199,75672003
200,767002
201,76752008
202,77068002
203,77176002
204,776106002
205,776110004
206,776113002
207,80515008
208,82799009
209,8319008
210,84114007
211,84229001
212,85097005
213,85899009
214,86290005
215,88810008
